"u","connectivity","offsets","types","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.99748,3276844,0,0,1,0.298,0.298,0.00046562,0
0.99702,3014711,0,0,1,0.299,0.299,0.00046719,0
0.99653,2228314,0,53,1,0.3,0.3,0.00046875,0
0.99593,2228314,0,53,1,0.301,0.301,0.00047031,0
0.99528,7929972,0,0,1,0.302,0.302,0.00047188,0
0.99457,6619244,0,0,1,0.303,0.303,0.00047344,0
0.99375,2228285,0,9,1,0.304,0.304,0.000475,0
0.99288,7077996,0,0,1,0.305,0.305,0.00047656,0
0.99193,2293818,0,0,1,0.306,0.306,0.00047813,0
0.99088,6684726,0,0,1,0.307,0.307,0.00047969,0
0.98977,3735605,256,25,1,0.308,0.308,0.00048125,0
0.98855,3080226,0,8,1,0.309,0.309,0.00048281,0
0.98724,3932222,0,0,1,0.31,0.31,0.00048437,0
0.98588,6488178,0,0,1,0.311,0.311,0.00048594,0
0.9844,6488178,0,0,1,0.312,0.312,0.0004875,0
0.98285,6488096,110560912,64,1,0.313,0.313,0.00048906,0
0.98123,3997816,0,0,1,0.314,0.314,0.00049062,0
0.9795,3473442,105,0,1,0.315,0.315,0.00049219,0
0.97771,3342391,1632,34,1,0.316,0.316,0.00049375,0
0.97584,2097186,0,0,1,0.317,0.317,0.00049531,0
0.97389,7929955,128,0,1,0.318,0.318,0.00049688,0
0.97188,3145779,182364608,215,1,0.319,0.319,0.00049844,0
0.96979,3735598,0,163,1,0.32,0.32,0.0005,0
0.96764,2228276,393984,112,1,0.321,0.321,0.00050156,0
0.96543,2228285,520093699,10,1,0.322,0.322,0.00050313,0
0.96315,3014708,1442560,151,1,0.323,0.323,0.00050469,0
0.96082,3473460,134219267,63,1,0.324,0.324,0.00050625,0
0.95845,2097186,773128200,64,1,0.325,0.325,0.00050781,0
0.956,7602291,134219264,212,1,0.326,0.326,0.00050938,0
0.95352,3997797,134219264,112,1,0.327,0.327,0.00051094,0
0.95099,6684706,755302408,61,1,0.328,0.328,0.0005125,0
0.94841,7077993,50339840,10,1,0.329,0.329,0.00051406,0
0.9458,6357027,726272,11,1,0.33,0.33,0.00051562,0
0.94315,6553655,1042,64,1,0.331,0.331,0.00051719,0
0.94046,3670066,858927408,0,1,0.332,0.332,0.00051875,0
0.93774,4063279,3029304,25,1,0.333,0.333,0.00052031,0
0.93499,7340092,134414369,8,1,0.334,0.334,0.00052187,0
0.93221,7602273,3015936,0,1,0.335,0.335,0.00052344,0
0.9294,3997796,657664,0,1,0.336,0.336,0.000525,0
0.92657,5046306,774,0,1,0.337,0.337,0.00052656,0
0.92371,3473461,33751074,100,1,0.338,0.338,0.00052812,0
0.92084,3604526,768,0,1,0.339,0.339,0.00052969,0
0.91793,2883635,0,0,1,0.34,0.34,0.00053125,0
0.91502,3473454,224,5,1,0.341,0.341,0.00053281,0
0.91208,6357041,0,0,1,0.342,0.342,0.00053438,0
0.90913,3014709,3425,0,1,0.343,0.343,0.00053594,0
0.90617,3473452,87958912,0,1,0.344,0.344,0.0005375,0
0.90319,3473454,0,218,1,0.345,0.345,0.00053906,0
0.9002,2883640,2839628960,203,1,0.346,0.346,0.00054063,0
0.8972,2883633,0,13,1,0.347,0.347,0.00054219,0
0.89419,2883633,0,127,1,0.348,0.348,0.00054375,0
0.89117,3014709,0,0,1,0.349,0.349,0.00054531,0
0.88814,3604533,0,0,1,0.35,0.35,0.00054688,0
0.88511,3473453,0,0,1,0.351,0.351,0.00054844,0
0.88206,4259895,0,0,1,0.352,0.352,0.00055,0
0.87902,3014709,0,0,1,0.353,0.353,0.00055156,0
0.87596,3670069,0,0,1,0.354,0.354,0.00055312,0
0.87291,3473454,0,0,1,0.355,0.355,0.00055469,0
0.86985,2883640,0,0,1,0.356,0.356,0.00055625,0
0.86678,2883632,0,0,1,0.357,0.357,0.00055781,0
0.86372,2883633,0,25,1,0.358,0.358,0.00055937,0
0.86065,3473461,0,8,1,0.359,0.359,0.00056094,0
0.85758,3604526,0,0,1,0.36,0.36,0.0005625,0
0.85451,3538995,0,0,1,0.361,0.361,0.00056406,0
0.85144,3473454,0,0,1,0.362,0.362,0.00056563,0
0.84838,5898289,0,100,1,0.363,0.363,0.00056719,0
0.84531,3145837,0,0,1,0.364,0.364,0.00056875,0
0.84224,3670061,0,0,1,0.365,0.365,0.00057031,0
0.83918,6357049,0,5,1,0.366,0.366,0.00057188,0
0.83611,3014707,0,0,1,0.367,0.367,0.00057344,0
0.83305,3276851,0,0,1,0.368,0.368,0.000575,0
0.82999,3342382,0,0,1,0.369,0.369,0.00057656,0
0.82694,2883634,0,115,1,0.37,0.37,0.00057813,0
0.82389,2883632,0,25,1,0.371,0.371,0.00057969,0
0.82084,2883632,0,0,1,0.372,0.372,0.00058125,0
0.8178,3014707,0,0,1,0.373,0.373,0.00058281,0
0.81476,3276851,0,0,1,0.374,0.374,0.00058437,0
0.81173,3342380,0,0,1,0.375,0.375,0.00058594,0
0.80871,4259890,0,0,1,0.376,0.376,0.0005875,0
0.80569,3014707,256,0,1,0.377,0.377,0.00058906,0
0.80267,3276851,0,0,1,0.378,0.378,0.00059062,0
0.79967,3342380,0,12,1,0.379,0.379,0.00059219,0
0.79667,2883634,0,0,1,0.38,0.38,0.00059375,0
0.79368,2883632,0,0,1,0.381,0.381,0.00059531,0
0.7907,2883632,110559664,46,1,0.382,0.382,0.00059687,0
0.78773,3473461,140,51,1,0.383,0.383,0.00059844,0
0.78477,3604526,0,51,1,0.384,0.384,0.0006,0
0.78183,2883635,224,51,1,0.385,0.385,0.00060156,0
0.77889,3538990,224,27,1,0.386,0.386,0.00060313,0
0.77597,5898290,0,64,1,0.387,0.387,0.00060469,0
0.77306,2097186,0,2,1,0.388,0.388,0.00060625,0
0.77016,7602291,0,0,1,0.389,0.389,0.00060781,0
0.76728,7078009,0,0,1,0.39,0.39,0.00060938,0
0.76441,6684706,0,0,1,0.391,0.391,0.00061094,0
